LAT,LON,Total_Rn2200100_Sum
32.45,-101.5,6.160518460800001e-09
32.45,-101.4,6.160518460800001e-09
32.45,-101.35,6.160518460800001e-09
32.45,-101.3,6.160518460800001e-09
32.45,-101.2,6.160518460800001e-09
32.45,-101.15,3.6403063632000004e-08
32.45,-100.95,6.160518460800001e-09
32.45,-100.9,1.2321036921600002e-08
32.45,-100.85,6.160518460800001e-09
32.45,-100.8,1.2601060487999999e-08
32.45,-100.6,6.160518460800001e-09
32.45,-100.5,6.160518460800001e-09
32.5,-106.2,5.8804948944e-09
32.5,-106.15,6.1605184608e-08
32.5,-106.1,7.47662922288e-08
32.5,-106.05,8.2606952088e-08
32.5,-106.0,5.79648782448e-08
32.5,-105.95,8.31669992208e-08
32.5,-105.9,1.34411311872e-07
32.5,-105.85,1.48412490192e-07
32.5,-105.8,2.800235664e-07
32.5,-105.75,1.31611076208e-07
32.5,-105.7,1.76414846832e-07
32.5,-105.65,1.5121272585599998e-07
32.5,-105.6,7.560636292799999e-08
32.5,-105.55,1.70814375504e-07
32.5,-105.5,9.240777691200001e-08
32.5,-105.45,1.59613432848e-08
32.5,-105.4,1.0920919089599998e-08
32.5,-105.35,4.7604006288000006e-08
32.5,-105.3,2.6882262374399997e-08
32.5,-101.6,1.2601060487999999e-08
32.5,-101.5,1.2601060487999999e-08
32.5,-101.45,1.87615789488e-08
32.5,-101.35,1.2601060487999999e-08
32.5,-101.3,6.160518460800001e-09
32.5,-101.2,3.6403063632000004e-08
32.5,-101.15,6.160518460800001e-09
32.5,-101.1,6.160518460800001e-09
32.5,-101.05,1.87615789488e-08
32.5,-101.0,3.0802592304e-08
32.5,-100.95,1.2601060487999999e-08
32.5,-100.9,2.49220974096e-08
32.5,-100.85,3.0802592304e-08
32.5,-100.8,2.49220974096e-08
32.5,-100.7,6.160518460800001e-09
32.5,-100.65,2.49220974096e-08
32.5,-100.6,6.160518460800001e-09
32.5,-100.55,1.2321036921600002e-08
32.5,-100.5,6.160518460800001e-09
32.5,-100.4,6.160518460800001e-09
32.5,-100.35,6.160518460800001e-09
32.55,-106.2,2.5202120975999998e-08
32.55,-106.15,5.0404241951999996e-08
32.55,-106.1,6.4405420272e-08
32.55,-106.05,5.79648782448e-08
32.55,-106.0,7.672645719359999e-08
32.55,-105.95,1.327311704736e-07
32.55,-105.9,1.59613432848e-07
32.55,-105.85,2.8562403772800006e-07
32.55,-105.8,2.77223330736e-07
32.55,-105.75,1.20410133552e-07
32.55,-105.7,2.6602238807999996e-07
32.55,-105.65,1.59613432848e-07
32.55,-105.6,8.9607541248e-08
32.55,-105.55,1.65213904176e-07
32.55,-105.5,5.6004713280000004e-08
32.55,-105.45,1.62413668512e-08
32.55,-105.4,2.1561814612799997e-08
32.55,-105.35,4.200353496e-08
32.55,-105.3,2.1561814612799997e-08
32.55,-101.9,1.2601060487999999e-08
32.55,-101.65,6.160518460800001e-09
32.55,-101.6,1.2601060487999999e-08
32.55,-101.55,2.49220974096e-08
32.55,-101.5,1.2601060487999999e-08
32.55,-101.45,1.87615789488e-08
32.55,-101.4,4.4803770624e-08
32.55,-101.35,1.87615789488e-08
32.55,-101.3,1.87615789488e-08
32.55,-101.25,2.49220974096e-08
32.55,-101.2,1.2601060487999999e-08
32.55,-101.15,5.0404241951999996e-08
32.55,-101.1,3.6403063632000004e-08
32.55,-101.05,2.49220974096e-08
32.55,-101.0,3.6403063632000004e-08
32.55,-100.95,3.0802592304e-08
32.55,-100.9,1.2601060487999999e-08
32.55,-100.85,5.0404241951999996e-08
32.55,-100.8,1.87615789488e-08
32.55,-100.75,1.2601060487999999e-08
32.55,-100.7,3.0802592304e-08
32.55,-100.65,6.160518460800001e-09
32.55,-100.6,6.160518460800001e-09
32.55,-100.55,1.2601060487999999e-08
32.55,-100.5,1.87615789488e-08
32.55,-100.45,6.160518460800001e-09
32.6,-106.25,1.3721154753599999e-08
32.6,-106.2,5.0404241951999996e-08
32.6,-106.15,4.7604006288000006e-08
32.6,-106.1,1.1200942656000001e-07
32.6,-106.05,6.1605184608e-08
32.6,-106.0,2.1001767480000002e-07
32.6,-105.95,1.2601060488000002e-07
32.6,-105.9,1.400117832e-07
32.6,-105.85,2.96824980384e-07
32.6,-105.8,2.800235664e-07
32.6,-105.75,2.12817910464e-07
32.6,-105.7,3.1082615870399997e-07
32.6,-105.65,1.93216260816e-07
32.6,-105.6,1.1200942656000001e-07
32.6,-105.55,1.62413668512e-07
32.6,-105.5,2.1561814612799997e-08
32.6,-105.45,1.84815553824e-08
32.6,-105.4,2.6602238808e-08
32.6,-105.35,5.3204477616e-08
32.6,-102.0,1.2601060487999999e-08
32.6,-101.9,6.160518460800001e-09
32.6,-101.85,2.49220974096e-08
32.6,-101.8,3.6403063632000004e-08
32.6,-101.65,2.5202120975999998e-08
32.6,-101.6,3.0802592304e-08
32.6,-101.55,6.160518460800001e-09
32.6,-101.5,3.0802592304e-08
32.6,-101.45,5.0404241951999996e-08
32.6,-101.4,9.520801257600001e-08
32.6,-101.35,1.2601060487999999e-08
32.6,-101.3,2.49220974096e-08
32.6,-101.25,3.6403063632000004e-08
32.6,-101.2,3.6403063632000004e-08
32.6,-101.15,3.0802592304e-08
32.6,-101.1,4.4803770624e-08
32.6,-101.05,5.0404241951999996e-08
32.6,-101.0,3.6403063632000004e-08
32.6,-100.95,2.5202120975999998e-08
32.6,-100.9,4.4803770624e-08
32.6,-100.85,3.0802592304e-08
32.6,-100.8,1.2601060487999999e-08
32.6,-100.75,1.87615789488e-08
32.6,-100.7,2.49220974096e-08
32.6,-100.65,6.160518460800001e-09
32.6,-100.6,1.87615789488e-08
32.6,-100.55,2.49220974096e-08
32.6,-100.5,1.2601060487999999e-08
32.65,-106.3,7.0005891600000005e-09
32.65,-106.25,2.07217439136e-08
32.65,-106.2,5.6004713280000004e-08
32.65,-106.15,7.196605656480001e-08
32.65,-106.1,8.9607541248e-08
32.65,-106.05,9.800824824e-08
32.65,-106.0,1.20410133552e-07
32.65,-105.95,2.2401885312000002e-07
32.65,-105.9,1.1060930872799999e-07
32.65,-105.85,3.8923275729599995e-07
32.65,-105.8,2.74423095072e-07
32.65,-105.75,2.68822623744e-07
32.65,-105.7,2.9402474472e-07
32.65,-105.65,1.400117832e-07
32.65,-105.6,1.5625315005120002e-07
32.65,-105.55,1.31611076208e-07
32.65,-105.5,2.1561814612799997e-08
32.65,-105.45,2.2681908878399998e-08
32.65,-105.4,3.6403063632000004e-08
32.65,-105.35,3.3602827968e-08
32.65,-102.15,6.160518460800001e-09
32.65,-102.05,1.87615789488e-08
32.65,-102.0,1.87615789488e-08
32.65,-101.95,1.87615789488e-08
32.65,-101.9,3.0802592304e-08
32.65,-101.85,2.5202120975999998e-08
32.65,-101.8,3.0802592304e-08
32.65,-101.75,1.87615789488e-08
32.65,-101.7,1.87615789488e-08
32.65,-101.65,5.0404241951999996e-08
32.65,-101.6,2.5202120975999998e-08
32.65,-101.55,3.0802592304e-08
32.65,-101.5,4.4803770624e-08
32.65,-101.45,8.6807305584e-08
32.65,-101.4,3.0802592304e-08
32.65,-101.35,3.0802592304e-08
32.65,-101.3,3.6403063632000004e-08
32.65,-101.25,3.6403063632000004e-08
32.65,-101.2,1.2601060487999999e-08
32.65,-101.15,3.6403063632000004e-08
32.65,-101.1,8.1206834256e-08
32.65,-101.05,5.0404241951999996e-08
32.65,-101.0,2.5202120975999998e-08
32.65,-100.95,3.6403063632000004e-08
32.65,-100.9,4.4803770624e-08
32.65,-100.85,1.2601060487999999e-08
32.65,-100.8,1.2601060487999999e-08
32.65,-100.75,2.5202120975999998e-08
32.65,-100.7,6.160518460800001e-09
32.65,-100.65,1.2601060487999999e-08
32.65,-100.6,3.6403063632000004e-08
32.7,-106.3,2.07217439136e-08
32.7,-106.25,4.39636999248e-08
32.7,-106.2,5.3204477616e-08
32.7,-106.15,8.6807305584e-08
32.7,-106.1,1.4561225452800001e-07
32.7,-106.05,2.6602238807999996e-07
32.7,-106.0,1.62413668512e-07
32.7,-105.95,2.26819088784e-07
32.7,-105.9,2.26819088784e-07
32.7,-105.85,2.8282380206399997e-07
32.7,-105.8,2.96824980384e-07
32.7,-105.75,2.9402474472e-07
32.7,-105.7,2.8282380206399997e-07
32.7,-105.65,1.76414846832e-07
32.7,-105.6,1.98816732144e-07
32.7,-105.55,8.9607541248e-08
32.7,-105.5,2.2681908878399998e-08
32.7,-105.45,3.3602827968e-08
32.7,-105.4,4.7604006288000006e-08
